epoch,total_loss,data_loss,physics_loss
12950,4.038805e-01,1.003438e-04,4.037802e-01
13000,4.030052e-01,1.181567e-04,4.028870e-01
13050,4.111280e-01,8.262565e-05,4.110454e-01
13100,4.062284e-01,9.126840e-05,4.061371e-01
13150,4.046862e-01,1.419048e-04,4.045443e-01
13200,4.062815e-01,8.227274e-05,4.061992e-01
13250,4.029092e-01,8.179033e-05,4.028274e-01
13300,4.020495e-01,8.192648e-05,4.019676e-01
13350,3.999281e-01,1.002534e-04,3.998278e-01
13400,3.987352e-01,8.197268e-05,3.986532e-01
13450,3.991998e-01,8.221382e-05,3.991175e-01
13500,3.989995e-01,8.273290e-05,3.989168e-01
13550,3.991583e-01,2.416713e-04,3.989167e-01
13600,3.943867e-01,8.231778e-05,3.943044e-01
13650,3.913411e-01,8.186101e-05,3.912593e-01
13700,3.903852e-01,8.700931e-05,3.902982e-01
13750,3.913792e-01,8.409237e-05,3.912951e-01
13800,3.943906e-01,5.968949e-04,3.937937e-01
13850,3.894485e-01,8.598945e-05,3.893625e-01
13900,3.960288e-01,8.249001e-05,3.959463e-01
13950,3.880796e-01,8.307863e-05,3.879965e-01
14000,3.892810e-01,8.287872e-05,3.891982e-01
14050,3.928232e-01,8.369875e-05,3.927395e-01
14100,3.906159e-01,8.350225e-05,3.905324e-01
14150,3.872709e-01,8.275337e-05,3.871882e-01
14200,3.847856e-01,8.213391e-05,3.847035e-01
14250,3.853898e-01,8.223405e-05,3.853076e-01
14300,3.830794e-01,8.157697e-05,3.829979e-01
14350,3.816011e-01,8.164201e-05,3.815195e-01
14400,3.834587e-01,8.150373e-05,3.833772e-01
14450,3.900455e-01,8.116078e-05,3.899643e-01
14500,3.835270e-01,8.209664e-05,3.834449e-01
14550,3.821514e-01,8.140776e-05,3.820699e-01
14600,3.813555e-01,8.129589e-05,3.812742e-01
14650,3.806085e-01,9.435527e-05,3.805141e-01
14700,3.808806e-01,8.152545e-05,3.807991e-01
14750,3.794824e-01,8.142348e-05,3.794009e-01
14800,3.796811e-01,8.176625e-05,3.795994e-01
14850,3.798907e-01,8.161984e-05,3.798090e-01
14900,3.789282e-01,8.168091e-05,3.788465e-01
14950,3.782220e-01,8.389971e-05,3.781381e-01
15000,3.840472e-01,1.087642e-04,3.839384e-01
15050,3.793198e-01,8.122427e-05,3.792386e-01
15100,3.798138e-01,8.155330e-05,3.797323e-01
15150,3.813090e-01,8.141016e-05,3.812276e-01
15200,3.780437e-01,8.142284e-05,3.779622e-01
15250,3.778857e-01,8.139973e-05,3.778043e-01
15300,3.812866e-01,8.423650e-05,3.812024e-01
15350,3.799393e-01,8.171455e-05,3.798576e-01
15400,3.797247e-01,9.019713e-05,3.796344e-01
15450,3.801870e-01,9.958799e-05,3.800874e-01
15500,3.799198e-01,9.169117e-05,3.798281e-01
15550,3.802730e-01,8.977991e-05,3.801832e-01
15600,3.795362e-01,8.631912e-05,3.794499e-01
15650,3.807237e-01,8.180751e-05,3.806419e-01
15700,3.842948e-01,8.213242e-05,3.842127e-01
15750,3.765257e-01,8.179662e-05,3.764439e-01
15800,3.762461e-01,8.180812e-05,3.761643e-01
